Id,Review,Components,Delivery and Customer Support,Design and Aesthetics,Dimensions,Features,Functionality,Installation,Material,Price,Quality,Usability,Polarity,clean_review,temp_list
10,there was no instruction in the package but it was still easy to installed. and works great.,0,0,0,0,0,1,1,0,0,0,0,1,no instruction package still easy installed works great,"['no', 'instruction', 'package', 'still', 'easy', 'installed', 'works', 'great']"
11,"some of us diyers tend to take on many projects that we should not, i am one of those that usually bites off more than i should. this one started with adding a whole house water filter to our house. i have done some basic plumbing over the years but new to pex, my cutter was a bit old so a new one was in order. the kobalt pex cutter was ideal and able to cut through the pipe in a single squeeze with a clean crisp cut. my older cutter did not have replaceable blade but this kobalt cutter does so the blade can be replaced easily. i finished installing the water filter with no problems. this is one tool every diy plumber should have.",0,0,0,0,0,1,0,0,0,0,1,1,us diyers tend take many projects not one usually bites one started adding whole house water filter house done basic plumbing years new pex cutter bit old new one order kobalt pex cutter ideal able cut pipe single squeeze clean crisp cut older cutter not replaceable blade kobalt cutter blade replaced easily finished installing water filter no problems one tool every diy plumber,"['us', 'diyers', 'tend', 'take', 'many', 'projects', 'not', 'one', 'usually', 'bites', 'one', 'started', 'adding', 'whole', 'house', 'water', 'filter', 'house', 'done', 'basic', 'plumbing', 'years', 'new', 'pex', 'cutter', 'bit', 'old', 'new', 'one', 'order', 'kobalt', 'pex', 'cutter', 'ideal', 'able', 'cut', 'pipe', 'single', 'squeeze', 'clean', 'crisp', 'cut', 'older', 'cutter', 'not', 'replaceable', 'blade', 'kobalt', 'cutter', 'blade', 'replaced', 'easily', 'finished', 'installing', 'water', 'filter', 'no', 'problems', 'one', 'tool', 'every', 'diy', 'plumber']"
12,"seem to work well, fairly sharp.a little hard to do 1 1/4 inch.overall a decent pvp pipe cutter.",1,0,0,0,0,1,0,0,0,0,0,1,seem work well fairly sharp little hard inch overall decent pvp pipe cutter,"['seem', 'work', 'well', 'fairly', 'sharp', 'little', 'hard', 'inch', 'overall', 'decent', 'pvp', 'pipe', 'cutter']"
13,"this toilet looks really great, clean lines, no crevices to collect dirt. it flushes beautifully. it was a little hard to install due to valves hard to get to.",0,0,1,0,0,1,1,0,0,0,0,1,toilet looks really great clean lines no crevices collect dirt flushes beautifully little hard install due valves hard get,"['toilet', 'looks', 'really', 'great', 'clean', 'lines', 'no', 'crevices', 'collect', 'dirt', 'flushes', 'beautifully', 'little', 'hard', 'install', 'due', 'valves', 'hard', 'get']"
14,cushion seems to be holding up well.  no problems.,0,0,0,0,0,0,0,0,0,1,0,1,cushion seems holding well no problems,"['cushion', 'seems', 'holding', 'well', 'no', 'problems']"
15,this water sprinkler it really does it's job. it works great and covers a big area of my lawn. as i said it's very worth the price little but very efficient.,0,0,0,0,0,1,0,0,1,1,0,1,water sprinkler really job works great covers big area lawn said worth price little efficient,"['water', 'sprinkler', 'really', 'job', 'works', 'great', 'covers', 'big', 'area', 'lawn', 'said', 'worth', 'price', 'little', 'efficient']"
16,they work but too stiff. it's all you can to clamp.. i'd say they were not adjusted correctly.. i have use quite a few different ones in different brand and never had this problem,0,0,1,0,0,0,0,0,0,0,0,0,work stiff clamp would say not adjusted correctly use quite different ones different brand never problem,"['work', 'stiff', 'clamp', 'would', 'say', 'not', 'adjusted', 'correctly', 'use', 'quite', 'different', 'ones', 'different', 'brand', 'never', 'problem']"
17,this product doesn't look anything like the description,0,0,1,0,0,0,0,0,0,0,0,0,product not look anything like description,"['product', 'not', 'look', 'anything', 'like', 'description']"
18,"we have a septic system and wanted a toilet that would work efficiently and use less water. this toilet looks beautiful, very sleek design and works great!",0,0,1,0,0,1,0,0,0,0,0,1,septic system wanted toilet would work efficiently use less water toilet looks beautiful sleek design works great,"['septic', 'system', 'wanted', 'toilet', 'would', 'work', 'efficiently', 'use', 'less', 'water', 'toilet', 'looks', 'beautiful', 'sleek', 'design', 'works', 'great']"
19,"i recently purchased this toilet and am about to replace it as it is totally unsatisfactory.  it has very low water flow and does not always flush everything, requiring multiple flushes to clear.  i was relying on the american standard name for quality, but will not make that mistake again. lowes would not allow me to exchange it, as it had already been installed, so am simply out the cost of the toilet plus the cost of installation.  i will buy a better quality toilet this time.",0,0,0,0,0,1,0,0,0,1,0,0,recently purchased toilet replace totally unsatisfactory low water flow not always flush everything requiring multiple flushes clear relying american standard name quality not make mistake lowes would not allow exchange already installed simply cost toilet plus cost installation buy better quality toilet time,"['recently', 'purchased', 'toilet', 'replace', 'totally', 'unsatisfactory', 'low', 'water', 'flow', 'not', 'always', 'flush', 'everything', 'requiring', 'multiple', 'flushes', 'clear', 'relying', 'american', 'standard', 'name', 'quality', 'not', 'make', 'mistake', 'lowes', 'would', 'not', 'allow', 'exchange', 'already', 'installed', 'simply', 'cost', 'toilet', 'plus', 'cost', 'installation', 'buy', 'better', 'quality', 'toilet', 'time']"
20,"so strong it kept my ex-outdoor cat from breaking through. he tries to claw and bite his way through puffs of frustration and defeat. he's so upset he pooped on the floor in protest. hopefully he'll get over it, because he's not getting out again.",0,0,0,0,0,0,0,0,0,1,0,1,strong kept ex outdoor cat breaking tries claw bite way puffs frustration defeat upset pooped floor protest hopefully get not getting,"['strong', 'kept', 'ex', 'outdoor', 'cat', 'breaking', 'tries', 'claw', 'bite', 'way', 'puffs', 'frustration', 'defeat', 'upset', 'pooped', 'floor', 'protest', 'hopefully', 'get', 'not', 'getting']"
21,"i use these clamps for welding all the time and they are wonderful. even for them not being ""welding quality"" finish clamps, the splatter doesn't seem to stick to the finish very easily which usually is the case with chrome. great value for the money!",0,0,1,0,0,0,0,0,1,0,0,1,use clamps welding time wonderful even not welding quality finish clamps splatter not seem stick finish easily usually case chrome great value money,"['use', 'clamps', 'welding', 'time', 'wonderful', 'even', 'not', 'welding', 'quality', 'finish', 'clamps', 'splatter', 'not', 'seem', 'stick', 'finish', 'easily', 'usually', 'case', 'chrome', 'great', 'value', 'money']"
22,love the ringâœ¨clear pics/video. the ones i own have been very reliable with easy setup!,0,0,0,0,0,0,1,0,0,1,0,1,love ring clear pics video ones reliable easy setup,"['love', 'ring', 'clear', 'pics', 'video', 'ones', 'reliable', 'easy', 'setup']"
23,"the pad is comfortable and attractive, but unfortunately the velcro tabs are too short and as a result, the pad pulls away from the chair.",0,0,1,1,0,0,0,0,0,1,1,0,pad comfortable attractive unfortunately velcro tabs short result pad pulls away chair,"['pad', 'comfortable', 'attractive', 'unfortunately', 'velcro', 'tabs', 'short', 'result', 'pad', 'pulls', 'away', 'chair']"
24,"these cameras blew me way with easy of install, setup, and uses. the quality is awesome.",0,0,0,0,0,0,1,0,0,1,1,1,cameras blew way easy install setup uses quality awesome,"['cameras', 'blew', 'way', 'easy', 'install', 'setup', 'uses', 'quality', 'awesome']"
25,absolutely love it! it fit my four foot swing perfectly.,0,0,0,1,0,0,0,0,0,0,0,1,absolutely love fit four foot swing perfectly,"['absolutely', 'love', 'fit', 'four', 'foot', 'swing', 'perfectly']"
26,"great product, worked great for my husbands project",0,0,0,0,0,1,0,0,0,0,0,1,great product worked great husbands project,"['great', 'product', 'worked', 'great', 'husbands', 'project']"
27,"most simple and effective sprinkler for me, covers the area i need watered. i move it once after 20 minutes covers my whole garden. i didn't want some fancy high price sprinkler that essentially dose the same thing waters my garden. very satisfied. when i was a kid these are what everyone used, still does a great job for a great price.",0,0,0,0,0,1,0,0,1,0,0,1,simple effective sprinkler covers area need watered move minutes covers whole garden not want fancy high price sprinkler essentially dose thing waters garden satisfied kid everyone used still great job great price,"['simple', 'effective', 'sprinkler', 'covers', 'area', 'need', 'watered', 'move', 'minutes', 'covers', 'whole', 'garden', 'not', 'want', 'fancy', 'high', 'price', 'sprinkler', 'essentially', 'dose', 'thing', 'waters', 'garden', 'satisfied', 'kid', 'everyone', 'used', 'still', 'great', 'job', 'great', 'price']"
28,this self-contained purchase was easy to install and is working well.  installation took about 20 minutes and only required standard tools.  i would buy this product again without a doubt or reservation.,0,0,0,0,0,1,1,0,0,0,0,1,self contained purchase easy install working well installation took minutes required standard tools would buy product without doubt reservation,"['self', 'contained', 'purchase', 'easy', 'install', 'working', 'well', 'installation', 'took', 'minutes', 'required', 'standard', 'tools', 'would', 'buy', 'product', 'without', 'doubt', 'reservation']"
29,works great with no problems,0,0,0,0,0,1,0,0,0,0,0,1,works great no problems,"['works', 'great', 'no', 'problems']"
30,good quality for the money,0,0,0,0,0,0,0,0,1,1,0,1,good quality money,"['good', 'quality', 'money']"
31,"i now have 4 of these cameras between my home and my parents, and they are awesome. much more reliable than arlo and the google nest app works perfectly.",0,0,0,0,0,1,0,0,0,1,0,1,cameras home parents awesome much reliable arlo google nest app works perfectly,"['cameras', 'home', 'parents', 'awesome', 'much', 'reliable', 'arlo', 'google', 'nest', 'app', 'works', 'perfectly']"
32,"works well for a couple weeks/ months or so, starts to leak, then when you try to tighten the nozzle to stop the leak the weak strip of plastic holding the most crucial part easily tears off. this happened twice to meâ€¦ we be finding a different one for sure.",0,0,0,0,0,0,0,0,0,1,0,0,works well couple weeks months starts leak try tighten nozzle stop leak weak strip plastic holding crucial part easily tears happened twice finding different one sure,"['works', 'well', 'couple', 'weeks', 'months', 'starts', 'leak', 'try', 'tighten', 'nozzle', 'stop', 'leak', 'weak', 'strip', 'plastic', 'holding', 'crucial', 'part', 'easily', 'tears', 'happened', 'twice', 'finding', 'different', 'one', 'sure']"
33,the perfect size for the job. i used these to hang new trim around my doors.these brad nails are strong and sturdy and my trim isn't going anywhere. they work wonderfully in my ryobi brad nailer. i would highly recommend them.,0,0,0,1,0,1,0,0,0,1,0,1,perfect size job used hang new trim around doors brad nails strong sturdy trim not going anywhere work wonderfully ryobi brad nailer would highly recommend,"['perfect', 'size', 'job', 'used', 'hang', 'new', 'trim', 'around', 'doors', 'brad', 'nails', 'strong', 'sturdy', 'trim', 'not', 'going', 'anywhere', 'work', 'wonderfully', 'ryobi', 'brad', 'nailer', 'would', 'highly', 'recommend']"
34,was easy to work with.,0,0,0,0,0,0,0,0,0,0,1,1,easy work,"['easy', 'work']"
35,you have to hold the handle down for full flush. should be a better design for the price!,0,0,1,0,0,0,0,0,0,0,0,0,hold handle full flush better design price,"['hold', 'handle', 'full', 'flush', 'better', 'design', 'price']"
36,it's good product a bit expensive but they work,0,0,0,0,0,1,0,0,1,0,0,0,good product bit expensive work,"['good', 'product', 'bit', 'expensive', 'work']"
37,smaller size pex tends to be difficult to cut straight,0,0,0,0,0,0,0,0,0,0,1,0,smaller size pex tends difficult cut straight,"['smaller', 'size', 'pex', 'tends', 'difficult', 'cut', 'straight']"
38,very good quality of material and easy to install. very pleased with this product.,0,0,0,0,0,0,1,1,0,0,0,1,good quality material easy install pleased product,"['good', 'quality', 'material', 'easy', 'install', 'pleased', 'product']"
39,works great with my worx nail gun!!,0,0,0,0,0,1,0,0,0,0,0,1,works great worx nail gun,"['works', 'great', 'worx', 'nail', 'gun']"
40,great product. wish i had it long ago. it made the job easy. well worth the money. i would highly recommend this product,0,0,0,0,0,0,0,0,1,1,0,1,great product wish long ago made job easy well worth money would highly recommend product,"['great', 'product', 'wish', 'long', 'ago', 'made', 'job', 'easy', 'well', 'worth', 'money', 'would', 'highly', 'recommend', 'product']"
41,"easily cut water pipeline, clean cut. used to install replacement outdoor water faucet.",0,0,0,0,0,1,0,0,0,0,0,1,easily cut water pipeline clean cut used install replacement outdoor water faucet,"['easily', 'cut', 'water', 'pipeline', 'clean', 'cut', 'used', 'install', 'replacement', 'outdoor', 'water', 'faucet']"
42,great roofing nails. worked fine in my harbor freight gun.,0,0,0,0,0,1,0,0,0,0,0,1,great roofing nails worked fine harbor freight gun,"['great', 'roofing', 'nails', 'worked', 'fine', 'harbor', 'freight', 'gun']"
43,they are too think and the top keeps falling down all day long.  maybe i just didn't get the right size but i ordered the same last year and they were much better quality,0,0,0,1,0,0,0,0,0,1,0,0,think top keeps falling day long maybe not get right size ordered last year much better quality,"['think', 'top', 'keeps', 'falling', 'day', 'long', 'maybe', 'not', 'get', 'right', 'size', 'ordered', 'last', 'year', 'much', 'better', 'quality']"
44,"i love this product for a number of reasons.  mid range pricing. the kit comes with everything you need to install a new toilet.  if you are kind of picky (like some of the installers i know who are a+ contractors) then pick up a good quality o ring kit and you are set.  i have bought this on 8 or 9 different occasions.  it has never been out of stock when i needed one.  the toilet seat does not crash to toilet (hands free quiet close) when you lower it.  so far, the toilet seat has stayed in place and not developed that annoying slip and slide toilet seat we are all so fond of  not.  the flush is very powerful despite being a lo flow toilet.",0,0,0,0,1,1,0,0,1,0,0,1,love product number reasons mid range pricing kit comes everything need install new toilet kind picky like installers know contractors pick good quality ring kit set bought different occasions never stock needed one toilet seat not crash toilet hands free quiet close lower far toilet seat stayed place not developed annoying slip slide toilet seat fond not flush powerful despite lo flow toilet,"['love', 'product', 'number', 'reasons', 'mid', 'range', 'pricing', 'kit', 'comes', 'everything', 'need', 'install', 'new', 'toilet', 'kind', 'picky', 'like', 'installers', 'know', 'contractors', 'pick', 'good', 'quality', 'ring', 'kit', 'set', 'bought', 'different', 'occasions', 'never', 'stock', 'needed', 'one', 'toilet', 'seat', 'not', 'crash', 'toilet', 'hands', 'free', 'quiet', 'close', 'lower', 'far', 'toilet', 'seat', 'stayed', 'place', 'not', 'developed', 'annoying', 'slip', 'slide', 'toilet', 'seat', 'fond', 'not', 'flush', 'powerful', 'despite', 'lo', 'flow', 'toilet']"
45,broken box and nails were bent and scattered,0,1,0,0,0,0,0,0,0,0,0,0,broken box nails bent scattered,"['broken', 'box', 'nails', 'bent', 'scattered']"
46,horrible. holes does not match most lights or fans mounting brackets. total useless. i threw it away.,0,0,1,0,0,0,0,0,0,0,0,0,horrible holes not match lights fans mounting brackets total useless threw away,"['horrible', 'holes', 'not', 'match', 'lights', 'fans', 'mounting', 'brackets', 'total', 'useless', 'threw', 'away']"
47,excellent sprinkler with lots of coverage and adjustments to assure everything possible is watered.,0,0,0,0,1,1,0,0,0,0,0,1,excellent sprinkler lots coverage adjustments assure everything possible watered,"['excellent', 'sprinkler', 'lots', 'coverage', 'adjustments', 'assure', 'everything', 'possible', 'watered']"
48,horrible product. don't waste your money. after attaching it to water hose the water only sprays approx.. 6-inches off the ground. i dont have water pressure issues. this complely a product issue.see more,0,0,0,0,0,1,0,0,1,0,0,0,horrible product not waste money attaching water hose water sprays approx ground dont water pressure issues complely product issue see,"['horrible', 'product', 'not', 'waste', 'money', 'attaching', 'water', 'hose', 'water', 'sprays', 'approx', 'ground', 'dont', 'water', 'pressure', 'issues', 'complely', 'product', 'issue', 'see']"
49,the camera works well and it's great for the price,0,0,0,0,0,1,0,0,1,0,0,1,camera works well great price,"['camera', 'works', 'well', 'great', 'price']"
50,the soft spray reaches a wide area and the sprinkler is light and easy to move from one place to another. best garden purchase i've made in years.,0,0,0,0,0,1,0,0,0,0,1,1,soft spray reaches wide area sprinkler light easy move one place another best garden purchase made years,"['soft', 'spray', 'reaches', 'wide', 'area', 'sprinkler', 'light', 'easy', 'move', 'one', 'place', 'another', 'best', 'garden', 'purchase', 'made', 'years']"
51,"overall the cushion is well made, color was exactly what i wanted, but the bottom cushion was supposed to be 5 inches thick. as you can see from the attached photo it's not even 4 inches. because it is not thick enough, it's not comfortable. i wanted for a soft that i nap on, and it's just not thick enough.description should have read 4 inches. it's almost 4 not quite.",0,0,1,1,0,0,0,0,0,1,1,0,overall cushion well made color exactly wanted bottom cushion supposed inches thick see attached photo not even inches not thick enough not comfortable wanted soft nap not thick enough description read inches almost not quite,"['overall', 'cushion', 'well', 'made', 'color', 'exactly', 'wanted', 'bottom', 'cushion', 'supposed', 'inches', 'thick', 'see', 'attached', 'photo', 'not', 'even', 'inches', 'not', 'thick', 'enough', 'not', 'comfortable', 'wanted', 'soft', 'nap', 'not', 'thick', 'enough', 'description', 'read', 'inches', 'almost', 'not', 'quite']"
52,sits higher and is comfortable. stylish.,0,0,1,1,0,0,0,0,0,0,1,1,sits higher comfortable stylish,"['sits', 'higher', 'comfortable', 'stylish']"
53,"i love this sprinkler, i like being able to adjust the angle of the water jets.",0,0,0,0,1,0,0,0,0,0,0,1,love sprinkler like able adjust angle water jets,"['love', 'sprinkler', 'like', 'able', 'adjust', 'angle', 'water', 'jets']"
54,beautiful and sturdy!,0,0,1,0,0,0,0,0,0,1,0,1,beautiful sturdy,"['beautiful', 'sturdy']"
55,love the gun and nails.incredible improvement over air butnails terribly boxed by shipper.always comes blown up because the dewalt box is allowed to float around in a larger shipping box.this has been constant with every shipment for a year. should do better. always wastes some nails cause strips are broken,0,1,0,0,0,0,0,0,0,0,0,0,love gun nails incredible improvement air butnails terribly boxed shipper always comes blown dewalt box allowed float around larger shipping box constant every shipment year better always wastes nails cause strips broken,"['love', 'gun', 'nails', 'incredible', 'improvement', 'air', 'butnails', 'terribly', 'boxed', 'shipper', 'always', 'comes', 'blown', 'dewalt', 'box', 'allowed', 'float', 'around', 'larger', 'shipping', 'box', 'constant', 'every', 'shipment', 'year', 'better', 'always', 'wastes', 'nails', 'cause', 'strips', 'broken']"
56,"this 3 piece set includes a spray wand, and two pistol grip hose spray nozzles. the wand and one of the nozzles feature 5 different patterns of spray. the additional nozzle has an adjustable collar which varies the spray from a jet to a wide shower spray. the wand has an on-to-off control in the handle, and the other two feature a flow control and trigger lock on the top of the handle. they are all constructed with a metal core, and a rubberized soft grip outer shell. the pattern selectors change with a loud satisfying click. i maintain a large pond, and go through alot of the dollar store versions of these. expert gardener's are the real deal, and i could tell the quality as soon as i used them. the wand is a new toy for me, and looks like it will be handy for hanging flower pots and rinsing off the pond filter.i've only had them a few weeks, but they are used heavily, and i'm very satisfied with the entire set.see more",0,0,0,0,0,0,0,0,0,0,1,1,piece set includes spray wand two pistol grip hose spray nozzles wand one nozzles feature different patterns spray additional nozzle adjustable collar varies spray jet wide shower spray wand control handle two feature flow control trigger lock top handle constructed metal core rubberized soft grip outer shell pattern selectors change loud satisfying click maintain large pond go alot dollar store versions expert gardener real deal could tell quality soon used wand new toy looks like handy hanging flower pots rinsing pond filter weeks used heavily satisfied entire set see,"['piece', 'set', 'includes', 'spray', 'wand', 'two', 'pistol', 'grip', 'hose', 'spray', 'nozzles', 'wand', 'one', 'nozzles', 'feature', 'different', 'patterns', 'spray', 'additional', 'nozzle', 'adjustable', 'collar', 'varies', 'spray', 'jet', 'wide', 'shower', 'spray', 'wand', 'control', 'handle', 'two', 'feature', 'flow', 'control', 'trigger', 'lock', 'top', 'handle', 'constructed', 'metal', 'core', 'rubberized', 'soft', 'grip', 'outer', 'shell', 'pattern', 'selectors', 'change', 'loud', 'satisfying', 'click', 'maintain', 'large', 'pond', 'go', 'alot', 'dollar', 'store', 'versions', 'expert', 'gardener', 'real', 'deal', 'could', 'tell', 'quality', 'soon', 'used', 'wand', 'new', 'toy', 'looks', 'like', 'handy', 'hanging', 'flower', 'pots', 'rinsing', 'pond', 'filter', 'weeks', 'used', 'heavily', 'satisfied', 'entire', 'set', 'see']"
57,"work well, very few jams.",0,0,0,0,0,1,0,0,0,0,0,1,work well jams,"['work', 'well', 'jams']"
58,the c clamp may be set with one hand and that is great when working alone. easy to place and close.,0,0,0,0,0,0,0,0,0,0,1,1,c clamp may set one hand great working alone easy place close,"['c', 'clamp', 'may', 'set', 'one', 'hand', 'great', 'working', 'alone', 'easy', 'place', 'close']"
59,great little nailer for the money.   it replaces a porter-cable that worked okay and was stolen.   this one is much smoother and better built overall.  definately recommend.,0,0,1,0,0,0,0,0,1,1,0,1,great little nailer money replaces porter cable worked okay stolen one much smoother better built overall definately recommend,"['great', 'little', 'nailer', 'money', 'replaces', 'porter', 'cable', 'worked', 'okay', 'stolen', 'one', 'much', 'smoother', 'better', 'built', 'overall', 'definately', 'recommend']"
60,i used this to mount a ceiling fan and it worked great. no issues. basic instructions were included in the box consisting of a small piece of paper folded up...,0,0,0,0,0,1,0,0,0,0,0,1,used mount ceiling fan worked great no issues basic instructions included box consisting small piece paper folded,"['used', 'mount', 'ceiling', 'fan', 'worked', 'great', 'no', 'issues', 'basic', 'instructions', 'included', 'box', 'consisting', 'small', 'piece', 'paper', 'folded']"
61,"quality nails, but i wish they would sell them in a 500 count box also. i'm not building a house every time i need some nails.",0,0,0,0,0,0,0,0,0,1,0,1,quality nails wish would sell count box also not building house every time need nails,"['quality', 'nails', 'wish', 'would', 'sell', 'count', 'box', 'also', 'not', 'building', 'house', 'every', 'time', 'need', 'nails']"
62,"bougt this to bore a slip tunnel under my driveway to run a drip line.  the slab was 13 ft wide and i made all the way.  however i did break the tip off the small nozzel, but not surprised.  i hit a couple of rocks but it made it all the way through.",0,0,0,0,0,0,0,0,0,1,0,1,bougt bore slip tunnel driveway run drip line slab ft wide made way however break tip small nozzel not surprised hit couple rocks made way,"['bougt', 'bore', 'slip', 'tunnel', 'driveway', 'run', 'drip', 'line', 'slab', 'ft', 'wide', 'made', 'way', 'however', 'break', 'tip', 'small', 'nozzel', 'not', 'surprised', 'hit', 'couple', 'rocks', 'made', 'way']"
63,very good quality and very comfortable!,0,0,0,0,0,0,0,0,0,1,1,1,good quality comfortable,"['good', 'quality', 'comfortable']"
64,the instructions were very easy to use. and the price was very very cheap for good product.,0,0,0,0,0,0,1,0,1,0,0,1,instructions easy use price cheap good product,"['instructions', 'easy', 'use', 'price', 'cheap', 'good', 'product']"
65,"works well.  i was using this to work on my son's pinewood derby car.  it is a perfect fit for smaller items you are working on.  it is small, is not clunky, and does not get in the way.",0,0,0,1,0,1,0,0,0,0,0,1,works well using work son pinewood derby car perfect fit smaller items working small not clunky not get way,"['works', 'well', 'using', 'work', 'son', 'pinewood', 'derby', 'car', 'perfect', 'fit', 'smaller', 'items', 'working', 'small', 'not', 'clunky', 'not', 'get', 'way']"
66,"i like the blink xt2s except i assumed i could keep them inside the house and point them out the window. i was wrong. doesn't matter the sensitivity, they won't work through glass like my d-link 933ls do. so i simply don't use them through glass. other than that, i love'em. easy to program and set up.",0,0,0,0,0,1,1,0,0,0,1,1,like blink except assumed could keep inside house point window wrong not matter sensitivity not work glass like link simply not use glass love em easy program set,"['like', 'blink', 'except', 'assumed', 'could', 'keep', 'inside', 'house', 'point', 'window', 'wrong', 'not', 'matter', 'sensitivity', 'not', 'work', 'glass', 'like', 'link', 'simply', 'not', 'use', 'glass', 'love', 'em', 'easy', 'program', 'set']"
67,very well made! great price too.  installed quickly- included slow close lid.,0,0,0,0,0,0,1,0,1,1,0,1,well made great price installed quickly included slow close lid,"['well', 'made', 'great', 'price', 'installed', 'quickly', 'included', 'slow', 'close', 'lid']"
68,tool worked perfect. did not try the clamps that came with it.,0,0,0,0,0,1,0,0,0,0,0,1,tool worked perfect not try clamps came,"['tool', 'worked', 'perfect', 'not', 'try', 'clamps', 'came']"
69,this sprinkler works well but the range of the spray cannot but adju. there's lot of rearranging of this devi to ensure that the water is not going into the street or the neighbor's yard.,0,0,0,0,0,1,0,0,0,0,0,1,sprinkler works well range spray cannot adju lot rearranging devi ensure water not going street neighbor yard,"['sprinkler', 'works', 'well', 'range', 'spray', 'cannot', 'adju', 'lot', 'rearranging', 'devi', 'ensure', 'water', 'not', 'going', 'street', 'neighbor', 'yard']"
70,lightweight plastic. broke within one week. quite ridiculous.,0,0,0,0,0,0,0,1,0,1,0,0,lightweight plastic broke within one week quite ridiculous,"['lightweight', 'plastic', 'broke', 'within', 'one', 'week', 'quite', 'ridiculous']"
71,"beautiful, thick cushions! ties to anchor to chairs sturdy",0,0,1,1,0,0,0,0,0,1,0,1,beautiful thick cushions ties anchor chairs sturdy,"['beautiful', 'thick', 'cushions', 'ties', 'anchor', 'chairs', 'sturdy']"
72,large crack emerged at the back of the base. toilet is still functional but going to have to do it all over again - parts and labor both paid for in vain.,1,0,0,0,0,0,0,0,0,0,0,0,large crack emerged back base toilet still functional going parts labor paid vain,"['large', 'crack', 'emerged', 'back', 'base', 'toilet', 'still', 'functional', 'going', 'parts', 'labor', 'paid', 'vain']"
